,ano,id_municipio,pop_total,pop_total_brancos,pop_total_pretos,pop_total_pardos,pop_homens,pop_homens_brancos,pop_homens_pretos,pop_homens_pardos,pop_mulheres,pop_mulheres_brancas,pop_mulheres_pretas,pop_mulheres_pardas
13,2017,1200401,395000.0,88000.0,31000.0,273000.0,195000.0,42000.0,18000.0,134000.0,,47000.0,12000.0,139000.0
14,2018,1200401,401000.0,,29000.0,267000.0,195000.0,46000.0,16000.0,130000.0,206000.0,53000.0,13000.0,137000.0
15,2019,1200401,407000.0,91000.0,32000.0,278000.0,190000.0,39000.0,15000.0,133000.0,218000.0,52000.0,16000.0,146000.0
16,2012,1302603,1914000.0,486000.0,52000.0,1365000.0,927000.0,233000.0,31000.0,656000.0,987000.0,252000.0,20000.0,709000.0
17,2013,1302603,1953000.0,441000.0,69000.0,1433000.0,958000.0,206000.0,40000.0,706000.0,996000.0,235000.0,29000.0,726000.0
18,2014,1302603,1993000.0,470000.0,59000.0,1457000.0,976000.0,220000.0,37000.0,714000.0,1018000.0,249000.0,22000.0,743000.0
19,2015,1302603,2033000.0,452000.0,44000.0,1527000.0,990000.0,223000.0,26000.0,737000.0,1042000.0,229000.0,18000.0,790000.0
20,2016,1302603,2071000.0,465000.0,69000.0,1510000.0,1012000.0,214000.0,38000.0,748000.0,1059000.0,251000.0,31000.0,763000.0
21,2017,1302603,2108000.0,455000.0,53000.0,1586000.0,1011000.0,207000.0,30000.0,768000.0,1096000.0,248000.0,23000.0,818000.0
22,2018,1302603,2145000.0,457000.0,59000.0,1606000.0,1041000.0,,33000.0,797000.0,1104000.0,256000.0,26000.0,810000.0
23,2019,1302603,2183000.0,443000.0,82000.0,1636000.0,1034000.0,205000.0,48000.0,772000.0,1149000.0,238000.0,34000.0,864000.0
24,2012,1400100,301000.0,67000.0,14000.0,214000.0,147000.0,31000.0,8000.0,105000.0,154000.0,35000.0,6000.0,109000.0
25,2013,1400100,308000.0,70000.0,20000.0,210000.0,152000.0,33000.0,12000.0,105000.0,156000.0,37000.0,8000.0,106000.0
26,2014,1400100,315000.0,68000.0,19000.0,217000.0,154000.0,34000.0,11000.0,103000.0,162000.0,35000.0,8000.0,114000.0
27,2015,1400100,323000.0,79000.0,21000.0,213000.0,157000.0,39000.0,11000.0,104000.0,166000.0,41000.0,10000.0,109000.0
28,2016,1400100,331000.0,75000.0,26000.0,218000.0,162000.0,34000.0,14000.0,108000.0,169000.0,41000.0,12000.0,110000.0
29,2017,1400100,345000.0,78000.0,29000.0,224000.0,165000.0,37000.0,14000.0,108000.0,180000.0,41000.0,15000.0,116000.0
30,2018,1400100,365000.0,96000.0,28000.0,217000.0,179000.0,47000.0,15000.0,107000.0,186000.0,49000.0,13000.0,111000.0
31,2019,1400100,384000.0,85000.0,33000.0,246000.0,186000.0,41000.0,17000.0,119000.0,198000.0,43000.0,16000.0,128000.0
32,2012,1501402,1442000.0,375000.0,90000.0,968000.0,676000.0,163000.0,47000.0,462000.0,766000.0,212000.0,43000.0,506000.0
33,2013,1501402,1450000.0,355000.0,112000.0,978000.0,682000.0,156000.0,59000.0,465000.0,768000.0,199000.0,54000.0,513000.0
34,2014,1501402,1457000.0,350000.0,116000.0,983000.0,683000.0,158000.0,59000.0,463000.0,774000.0,192000.0,57000.0,520000.0
35,2015,1501402,1465000.0,333000.0,145000.0,979000.0,671000.0,147000.0,73000.0,447000.0,794000.0,186000.0,72000.0,532000.0
36,2016,1501402,1472000.0,331000.0,138000.0,991000.0,684000.0,143000.0,68000.0,469000.0,788000.0,188000.0,70000.0,522000.0
37,2017,1501402,1479000.0,324000.0,148000.0,997000.0,702000.0,145000.0,81000.0,472000.0,777000.0,178000.0,67000.0,525000.0
38,2018,1501402,1486000.0,369000.0,136000.0,968000.0,688000.0,158000.0,65000.0,459000.0,798000.0,211000.0,71000.0,509000.0
39,2019,1501402,1493000.0,350000.0,153000.0,981000.0,717000.0,165000.0,82000.0,468000.0,776000.0,185000.0,71000.0,513000.0
40,2012,1600303,433000.0,84000.0,30000.0,320000.0,216000.0,36000.0,16000.0,164000.0,217000.0,48000.0,14000.0,156000.0
